Title,Bedrooms,Bathrooms,cleaned_price,Full_Location,lat,lon,dist_to_lekki,dist_to_ikeja,Location,Is_Island,Prop_Type,Has_Pool,Has_BQ,New_Build,Bathroom_per_Bedroom,In_Estate,Neighborhood_Tier,Island_x_Beds,Luxury_Score
5 Bedroom Detached Duplex With Bq,5,5,300000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
Beautiful Luxury 4 Bedroom Maisonette,4,4,350000000.0,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,0,0,1.0,0,4,4,0
"Super Luxury 4 Bed Maisonette +bq, Elevator, Pool & Gym",4,5,400000000.0,Adeniyi Jones Ikeja Lagos,6.5974727,3.3432815,21.044803340125824,1.0271477798224158,Ikeja,0,Other,1,1,0,1.25,0,5,0,1
2 Bedroom Apartment With Bq,2,2,290000000.0,Oniru Victoria Island Lagos,6.4300279,3.4259904,4.5315928067815925,20.705813048742378,Victoria Island,1,Flat,0,1,0,1.0,0,5,2,0
2 Bedroom Apartment With Pool,2,2,400000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,1,0,0,1.0,0,4,2,1
Luxury 2 Bedroom Apartment With Pool,2,2,200000000.0,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,1,0,0,1.0,0,4,2,1
4 Bedroom Massionette With Bq,4,4,550000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Other,0,1,0,1.0,0,4,4,0
Beautiful Luxury 2 Bedroom Apartment With Pool,2,2,330000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,1,0,0,1.0,0,4,2,1
Luxurious 4 Bedroom Semi Detached Duplex With Bq,4,4,300000000.0,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
Luxury 4 Bedroom Detached Duplex With Bq,4,4,280000000.0,Orchid Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,4,0
State Of The Art 4 Bedroom Terrace Duplex With Bq,4,4,350000000.0,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,0,1.0,0,4,4,0
2 Bedroom Apartment,2,0,220000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,0.0,0,4,2,0
5 Bedroom Semi Detached Duplex With Bq,5,5,190000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,5,0
Beautiful Luxury 2 Bedroom Apartment With Bq,2,2,250000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,1,0,1.0,0,4,2,0
5 Bedroom Detached Duplex,5,5,700000000.0,Osapa London Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,0,0,1.0,0,4,5,0
State Of The Art 1 Bedroom Apartment With Pool,1,1,190000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,1,0,0,1.0,0,4,1,1
5 Bedroom Detached Duplex With Bq,5,5,460000000.0,Ikota Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Detached Duplex,0,1,0,1.0,0,4,5,0
5 Bedroom Detached Duplex With Bq,5,5,350000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,5,0
4 Bedroom Detached Duplex With Bq,4,4,240000000.0,Fagba Agege Lagos,6.6252516,3.3112096,25.67415712845598,5.155317650569243,Agege,0,Detached Duplex,0,1,0,1.0,0,4,0,0
Beautiful Luxury 2 Bedroom Apartment,2,2,160000000.0,Ikate Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Flat,0,0,0,1.0,0,4,2,0
4 Bedroom Semi Detached Duplex With Bq,4,4,155000000.0,Ajah Lagos,6.4694716,3.5623861,11.300377211002502,27.534919075870757,Ajah,1,Detached Duplex,0,1,0,1.0,0,4,4,0
Newly Built 4 Bedroom Terrace Duplex With Bq,4,4,600000000.0,Lekki Phase 1 Lekki Lagos,6.4711251,3.8147504,39.0638334712576,53.23478511464151,Lekki,1,Terrace,0,1,1,1.0,0,4,4,1
