Title,Location,Price,Bedrooms,Bathrooms,URL
Serviced 3 Bedroom Flat With 24hrs Light,Ikate Lekki Lagos,"₦ 150,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-5MXNB
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,"₦ 400,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-7NTUK
3 Bedroom Apartment,Ikate Lekki Lagos,"₦ 150,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-2NWGU
Furnished 4 Bedroom Terrace Duplex,Chevron Drive Lekki Lagos,"₦ 300,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-chevron-drive-lekki-lagos-3NXCS
2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 150,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-9NWCZ
"Super Luxury 4 Bed Maisonette +bq, Elevator, Pool & Gym",Adeniyi Jones Ikeja Lagos,"₦ 400,000,000",4,5,https://propertypro.ng/property/4-bedroom-house-for-sale-adeniyi-jones-ikeja-lagos-3NQTT
Serviced 3 Bedroom Apartment For Sale,Ikate Lekki Lagos,"₦ 150,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-8MXFV
3 Bedroom Apartment,Alfred Rewane Old Ikoyi Ikoyi Lagos,"₦ 600,000,000",0,0,https://propertypro.ng/property/flat-apartment-for-sale-alfred-rewane-old-ikoyi-ikoyi-lagos-2NPBK
2 Plots Of Residential Land,Free Trade Zone Ibeju Lekki Lagos,"₦ 48,000,000",0,0,https://propertypro.ng/property/land-for-sale-free-trade-zone-ibeju-lekki-lagos-4NNJH
10 Bay Warehouse,"Ikeja Industrial Estate, Ikeja Lagos","₦ 5,000,000,000",0,0,https://propertypro.ng/property/commercial-property-for-sale-ikeja-industrial-estate-ikeja-lagos-7NNJQ
4 Bedroom Detached Duplex,Royal Gardens Ajah Abraham Adesanya Estate Ajah Lagos,"₦ 450,000,000",4,6,https://propertypro.ng/property/4-bedroom-house-for-sale-royal-gardens-ajah-abraham-adesanya-estate-ajah-lagos-0NMPM
Luxury 5 Bedroom Fully Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 1,200,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0NWXV
2 Bedroom Apartment,Off Freedom Way Lekki Phase 1 Lekki Lagos,"₦ 150,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-off-freedom-way-lekki-phase-1-lekki-lagos-7NVGR
2 Bedroom Apartment,Vgc Lekki Lagos,"₦ 95,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-vgc-lekki-lagos-8NUMD
5 Bedroom Fully Detached Duplex With Bq,Lekki Phase 1 Lekki Lagos,"₦ 800,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0NWGE
Newly Built 5 Bedroom Detached Duplex,Lekki Palm City Ado Ajah Lagos,"₦ 225,000,000",5,6,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palm-city-ado-ajah-lagos-7MVCA
2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 160,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-6NWFU
5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 1,500,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-1NWNF
1 Bedroom Apartment,Ikate Lekki Lagos,"₦ 110,000,000",1,1,https://propertypro.ng/property/1-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-3NWHJ
5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 700,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-1NUQR
5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 750,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-3NUQR
4 Bedroom Semi Detached Duplex With Bq,Lekki Palm City Estate Ado Ajah Lagos,"₦ 140,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-palm-city-estate-ado-ajah-lagos-5NVMJ
5 Bedroom Detached Duplex,Orchid Lekki Lagos,"₦ 370,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-5NUQW
2 Bedroom Apartment,Ikota Lekki Lagos,"₦ 80,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikota-lekki-lagos-3NUJW
Land,Igbo Efon Lekki Lagos,"₦ 170,000,000",0,0,https://propertypro.ng/property/land-for-sale-igbo-efon-lekki-lagos-5NWQJ
4 Bedroom Terrace Duplex,Ikate Lekki Lagos,"₦ 300,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-9NWMA
Newly Built Shop Size Of 25 Sqm,Orchid Road Orchid Lekki Lagos,"₦ 58,750,000",0,0,https://propertypro.ng/property/commercial-property-for-sale-orchid-road-orchid-lekki-lagos-7NUQZ
5 Bedroom Detached Duplex,Ikate Lekki Lagos,"₦ 750,000,000",5,6,https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-0NVCR
Land,Igbo Efon Lekki Lagos,"₦ 130,000,000",0,0,https://propertypro.ng/property/land-for-sale-igbo-efon-lekki-lagos-1NWRA
Land,New Road Chevron Lekki Lagos,"₦ 280,000,000",0,0,https://propertypro.ng/property/land-for-sale-new-road-chevron-lekki-lagos-8NWRF
5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 1,500,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-5NWPM
New 2 Bedroom Apartment With Pool/gym/elevator,Ikate Lekki Lagos,"₦ 170,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-9NVSP
Newly Built 2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 190,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-6NUEC
2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 140,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-0NWHK
5 Bedroom Fully Detached Duplex,Lekki Palm City Estate Ado Ajah Lagos,"₦ 250,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palm-city-estate-ado-ajah-lagos-0NVMJ
4 Bedroom Apartment,Ikate Lekki Lagos,"₦ 350,000,000",4,4,https://propertypro.ng/property/4-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-1NUET
2 Bedroom Apartment,Igbo Efon Lekki Lagos,"₦ 100,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-igbo-efon-lekki-lagos-4NTZH
Luxury 4 Bedroom Terraced Duplex With Bq,Lekki Phase 1 Lekki Lagos,"₦ 400,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8NGVG
Newly Built 4 Bedroom Terrace Duplex,Ologolo Lekki Lagos,"₦ 200,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-1NXWQ
4 Bedroom Terrace Duplex,Ikate Lekki Lagos,"₦ 300,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-9NVEB
Newly Built 2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 160,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-5NWHK
4 Bedroom Detached Duplex With Bq,Ologolo Lekki Lagos,"₦ 250,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-9NWDD
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,"₦ 340,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-9NWAQ
2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 220,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-1NWMP
Newly Built Shop Size Of 97 Square Meter,Orchid Road Orchid Lekki Lagos,"₦ 224,000,000",0,0,https://propertypro.ng/property/commercial-property-for-sale-orchid-road-orchid-lekki-lagos-3NURA
Luxury 5 Bedroom Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 1,300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-1NWSJ
Studio Apartment,Ikate Lekki Lagos,"₦ 100,000,000",1,1,https://propertypro.ng/property/1-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-5NWHJ
Newly Built 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 160,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-4NUGK
Spacious 3 Bedroom Apartment,Ibeju Lekki Lagos,"₦ 45,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ibeju-lekki-lagos-5NVAE
2 Units Of 4 Bedroom Semi Detached Duplex With Bq,Ogudu Lagos,"₦ 245,000,000",0,0,https://propertypro.ng/property/house-for-sale-ogudu-lagos-9MXPW
Newly Built 2 Bedroom Apartment,Ologolo Lekki Lagos,"₦ 100,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ologolo-lekki-lagos-4NTXB
2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 220,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-2NUEF
Spacious 4 Bedroom Terrace Duplex With Bq,Ikate Lekki Lagos,"₦ 310,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-5NVAF
4 Bedroom Terrace Duplex,Victoria Island Lagos,"₦ 650,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-victoria-island-lagos-0NVED
4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,"₦ 195,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-9NUQW
5 Bedroom Fully Detached Duplex With 2 Bq,Admiralty Road Lekki Lagos,"₦ 1,300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-admiralty-road-lekki-lagos-2NWXV
5 Bedroom Detached Duplex,Osapa London Lekki Lagos,"₦ 750,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-5NWDD
Contemporary 5 Bedroom Detached Duplex,Vgc Lekki Lagos,"₦ 350,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-vgc-lekki-lagos-7NUME
2 Bedroom Terrace Duplex,Ikota Lekki Lagos,"₦ 75,000,000",2,2,https://propertypro.ng/property/2-bedroom-house-for-sale-ikota-lekki-lagos-7NUGL
5 Bedroom Detached Duplex,Orchid Lekki Lagos,"₦ 420,000,000",5,6,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-7NUXK
5 Bedroom Detached Duplex In A Prestigious Estate,Pinnock Estate Osapa London Lekki Lagos,"₦ 1,800,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-pinnock-estate-osapa-london-lekki-lagos-5NTZH
5 Bedroom Fully Detached Duplex,Lekki Palm City Estate Ado Ajah Lagos,"₦ 280,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palm-city-estate-ado-ajah-lagos-4NVMK
Land Measuring 206.9 Sqm,Igbo Efon Lekki Lagos,"₦ 62,400,000",0,0,https://propertypro.ng/property/land-for-sale-igbo-efon-lekki-lagos-0NWQZ
4 Bedroom Semi Detached Duplex,Lekki Conservation Road Chevron Lekki Lagos,"₦ 135,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-lekki-conservation-road-chevron-lekki-lagos-4NUQY
4 Bedroom Detached Duplex With Bq,Ikota Lekki Lagos,"₦ 200,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-5NUGM
3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,"₦ 340,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-8NWAQ
2 Bedroom Apartment,Ikate Lekki Lagos,"₦ 152,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-1NWFN
3 Bedroom Apartment,Ikate Lekki Lagos,"₦ 300,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-5NWFP
Newly Built 2 Bedroom Apartment,Ologolo Lekki Lagos,"₦ 100,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ologolo-lekki-lagos-5NTYE
5 Bedroom Detached Duplex With Pool,Lekki Phase 1 Lekki Lagos,"₦ 850,000,000",5,5,https://propertypro.ng/property/5-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-3NWHK
4 Bedroom Terrace Duplex With Flexible Payment Plan,Osapa London Lekki Lagos,"₦ 205,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-osapa-london-lekki-lagos-7NXWQ
606sqm/820sqm/1330sqm Residential Plots Of Land,"Harris Drive Beside, Vgc Lekki Lagos","₦ 252,000,000",0,0,https://propertypro.ng/property/land-for-sale-harris-drive-beside-vgc-lekki-lagos-3LRDM
Newly Built 4 Bedroom Terrace Duplex,Ologolo Lekki Lagos,"₦ 150,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-3NXWQ
4 Bedroom Fully Detached Duplex With Bq,Igbo Efon Lekki Lagos,"₦ 230,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-igbo-efon-lekki-lagos-1NWAQ
Newly Built Shop Size Of 27 Square Meter,Orchid Road Orchid Lekki Lagos,"₦ 62,100,000",3,0,https://propertypro.ng/property/3-bedroom-commercial-property-for-sale-orchid-road-orchid-lekki-lagos-1NURA
Newly Built 4 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 160,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-9NUGK
Spacious 4 Bedroom Terrace Duplex,Vgc Lekki Lagos,"₦ 135,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-vgc-lekki-lagos-3NUMF
3 Bedroom Apartment In An Estate,Ikate Lekki Lagos,"₦ 260,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-5NWNE
Land,Igbo Efon Lekki Lagos,"₦ 96,400,000",0,0,https://propertypro.ng/property/land-for-sale-igbo-efon-lekki-lagos-2NWQQ
Fully Serviced 4 Bedroom Terraced Duplex With Bq,Ikate Lekki Lagos,"₦ 300,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-5NVSP
Newly Built 4 Bedroom Terrace Duplex,Ologolo Lekki Lagos,"₦ 150,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ologolo-lekki-lagos-5NWSH
Prime Commercial Land,"Apapa–oshodi Expressway, Lagos Apapa Lagos","₦ 7,000,000,000",0,0,https://propertypro.ng/property/commercial-property-for-sale-apapaoshodi-expressway-lagos-apapa-lagos-3NUXA
3 Bedroom Semi Detached Duplex,Ikota Lekki Lagos,"₦ 115,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-0NUJX
1 Bedroom Apartment,Vgc Lekki Lagos,"₦ 85,000,000",1,1,https://propertypro.ng/property/1-bedroom-flat-apartment-for-sale-vgc-lekki-lagos-4NUME
4 Bedroom Semi Detached Duplex,Orchid Lekki Lagos,"₦ 220,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-8NUQV
Furnished 3 Bedroom Terrace Duplex,Orchid Road Orchid Lekki Lagos,"₦ 125,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-orchid-road-orchid-lekki-lagos-0NUGQ
820sqm Of Fenced And Gated Land,Chevy View Estate Chevron Drive Lekki Lagos,"₦ 450,000,000",0,0,https://propertypro.ng/property/land-for-sale-chevy-view-estate-chevron-drive-lekki-lagos-3NUUT
Newly Built 4 Bedroom Semi Detached Duplex With Bq,Ikota Lekki Lagos,"₦ 200,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-2NUGK
5 Bedroom Terrace Duplex With Flexible Payment Plan,Gbangbala Street Ikate Lekki Lagos,"₦ 350,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-gbangbala-street-ikate-lekki-lagos-8NXWP
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,"₦ 190,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-4NVED
"5 Bedroom Detached Duplex With Cinema, Etc",Osapa London Lekki Lagos,"₦ 650,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-2NWDD
4 Bedroom Terrace Duplex With Pool,Ikate Lekki Lagos,"₦ 300,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikate-lekki-lagos-6NVED
Land,Igbo Efon Lekki Lagos,"₦ 69,400,000",0,0,https://propertypro.ng/property/land-for-sale-igbo-efon-lekki-lagos-0NWQX
5 Bedroom Detached Duplex With Bq,Chevron Lekki Lagos,"₦ 600,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-0NTTM
Newly Built Two Bedroom Apartment With Pool,Ajah Lekki Lekki Scheme 2 Ajah Lagos,"₦ 85,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ajah-lekki-lekki-scheme-2-ajah-lagos-1NYDX
Luxury 5 Bedroom Fully Detached House + Bq,Chevron Tollgate Lekki Lagos Chevron Toll Gate Lekki Lagos,"₦ 520,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-tollgate-lekki-lagos-chevron-toll-gate-lekki-lagos-6NYNU
Contemporary Five Bedroom Fully Detached House,Lekki 1 Lagos Lekki Phase 1 Lekki Lagos,"₦ 1,500,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-1-lagos-lekki-phase-1-lekki-lagos-2NXWY
Luxury 5 Bedroom Detached Duplex With Bq,"Osapa, Lekki Phase 2 Lekki Lagos","₦ 550,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-lekki-phase-2-lekki-lagos-4NVGK
Newly Built 5 Bedroom Detached House,Ajah Lekki Lagos Off Lekki Epe Expressway Ajah Lagos,"₦ 300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lekki-lagos-off-lekki-epe-expressway-ajah-lagos-0NXDP
5 Bedroom Fully Detached House,Osapa Lekki Lagos Osapa London Lekki Lagos,"₦ 1,550,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-lekki-lagos-osapa-london-lekki-lagos-4NVQS
Fully Serviced Two Bedroom Apartment Available,Vi Lagos Oniru Victoria Island Lagos,"₦ 330,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-vi-lagos-oniru-victoria-island-lagos-0NYRY
Luxury 5 Bedroom Detached Duplex With Bq,Ikota Villa Estate Lekki Lagos,"₦ 460,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ikota-villa-estate-lekki-lagos-2NWTJ
2 Bedroom Apartment,Lekki Sangotedo Ajah Lagos,"₦ 37,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-sangotedo-ajah-lagos-7NTYB
1 & Half Plots On Dwarf Fence Advantage,Avu Close Umuguma World Bank Off Ph Road Owerri Imo,"₦ 13,500,000",0,0,https://propertypro.ng/property/land-for-sale-avu-close-umuguma-world-bank-off-ph-road-owerri-imo-2NYEQ
Spacious Four Bedroom Semi Detached House With Bq,Idado Lekki Lagos Idado Lekki Lagos,"₦ 250,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-idado-lekki-lagos-idado-lekki-lagos-4NYDW
Newly Built Two Bedroom Apartment Available,Ikate Lekki Lagos Ikate Lekki Lagos,"₦ 200,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-ikate-lekki-lagos-9NXXK
5 Bedroom Detached House,Orchid Lekkki Lekki Phase 2 Lekki Lagos,"₦ 385,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekkki-lekki-phase-2-lekki-lagos-1NWRG
5 Bedroom Detached House,Ajah Lekki Lagos Ajah Lagos,"₦ 320,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lekki-lagos-ajah-lagos-1NXDN
Newly Built 2 Bedroom Apartment,Lekki 1 Lagos Lekki Phase 1 Lekki Lagos,"₦ 200,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-1-lagos-lekki-phase-1-lekki-lagos-0NURS
Newly Built Three Bedroom Apartment With Bq,Ikate Lekki Lagos Lekki Phase 2 Lekki Lagos,"₦ 300,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-lekki-phase-2-lekki-lagos-0NXXP
Newly Built Two Bedroom Apartment,Ikate Lekki Lagos Ikate Lekki Lagos,"₦ 180,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-ikate-lekki-lagos-5NXMZ
Five Bedroom Fully Detached House With Pool,Vgc Extension Lekki Vgc Lekki Lagos,"₦ 370,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-vgc-extension-lekki-vgc-lekki-lagos-7NYNX
Newly Built 4 Bedroom Semi Detached House,Ajah Lekki Lagos Off Lekki Epe Expressway Ajah Lagos,"₦ 140,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-off-lekki-epe-expressway-ajah-lagos-0NQUP
Newly Built Five Bedroom Detached House,Vgc Lekki Lagos Vgc Lekki Lagos,"₦ 320,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-vgc-lekki-lagos-vgc-lekki-lagos-3NYSB
Newly Built 4 Bedroom Semi Detached House,Ajah Lekki Lagos Off Lekki Epe Expressway Ajah Lagos,"₦ 135,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-off-lekki-epe-expressway-ajah-lagos-6NQUN
Newly Built 5 Bedroom Detached Duplex With Bq,Lekki Phase 1 Lekki Lagos,"₦ 1,500,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-0NTUA
Newly Built Five Bedroom Fully Detached House With Bq,Lekki Lagos Lekki Phase 1 Lekki Lagos,"₦ 970,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-lagos-lekki-phase-1-lekki-lagos-9NYBY
Newly Built 4 Bedroom Detached House With Bq,Ajah Lekki Lagos Ajah Lagos,"₦ 260,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lekki-lagos-ajah-lagos-5NXDN
2 Bedroom Apartment,Lekki 1 Lagos Lekki Phase 1 Lekki Lagos,"₦ 290,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-1-lagos-lekki-phase-1-lekki-lagos-8NURX
Newly Built 4 Bedroom Detached House,Pennisula Estate Sangotedo Ajah Sangotedo Ajah Lagos,"₦ 190,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-pennisula-estate-sangotedo-ajah-sangotedo-ajah-lagos-2NWRS
Contemporary 5 Bedroom Fully Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 800,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-6NXHF
5 Bedroom Fully Detached Duplex,Lekki Phase 1 Lekki Lagos,"₦ 850,000,000",5,6,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-2NYSC
Brand New 5 Bed Fully Detached Duplex With Bq,Ajah Off Lekki Expressway Along Lekki Expressway Lekki Lagos,"₦ 280,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-off-lekki-expressway-along-lekki-expressway-lekki-lagos-3NYQT
5 Bed Waterfront Mansion With Private Jetty,Banana Island Ikoyi Lagos,"$ 30,000,000",5,7,https://propertypro.ng/property/5-bedroom-house-for-sale-banana-island-ikoyi-lagos-2NYHC
Newly Built 4 Bedroom Fully Detached Duplex With Bq,Ogba Lagos,"₦ 350,000,000",0,0,https://propertypro.ng/property/house-for-sale-ogba-lagos-5NRWV
5 Bedroom Detached Duplex,Pinnock Beach Estate Osapa London Lekki Lagos,"₦ 850,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-pinnock-beach-estate-osapa-london-lekki-lagos-6NVDS
5 Bedroom Fully Detached Duplex,Chevron Lekki Lagos,"₦ 450,000,000",5,0,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-5NSHJ
Newly Built Executive 4 Bedroom Duplex,Ogba Lagos,"₦ 450,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-ogba-lagos-0NRMS
4 Bedroom Semi Detached Duplex With Bq,Ajah Lagos,"₦ 145,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-8NRTB
4 Bedroom Duplex,P & T Estate Ipaja Lagos,"₦ 200,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-p-t-estate-ipaja-lagos-8NSEU
4 Bedroom Semi Detached Duplex With Bq,Mende Maryland Lagos,"₦ 200,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-mende-maryland-lagos-6NSBX
6 Bedroom Duplex With Block Of Flats,Peace Estate Command Ipaja Lagos,"₦ 200,000,000",0,0,https://propertypro.ng/property/house-for-sale-peace-estate-command-ipaja-lagos-3NSEU
5 Bedroom Fully Detached Duplex With Bq,Ajah Lagos,"₦ 300,000,000",5,0,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-5NRTC
4 Bedroom Duplex,Highcastle Estate P&t Ipaja Lagos,"₦ 200,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-highcastle-estate-pt-ipaja-lagos-0NSEX
2/3 Bedroom Maisonette With Bq,Surulere Lagos,"₦ 105,000,000",0,0,https://propertypro.ng/property/flat-apartment-for-sale-surulere-lagos-2NSCC
Newly Built 4 Bedroom Fully Detached Duplex With Bq,Ogba Lagos,"₦ 350,000,000",4,0,https://propertypro.ng/property/4-bedroom-house-for-sale-ogba-lagos-5NRMS
5 Bedroom Fully Detached Duplex With Bq,Magodo Phase 1 Isheri Ojodu Lagos,"₦ 420,000,000",5,0,https://propertypro.ng/property/5-bedroom-house-for-sale-magodo-phase-1-isheri-ojodu-lagos-2NSFB
