Title,Location,Price,Bedrooms,Bathrooms,URL
Newly Built 5 Bedroom Fully Detached Duplex,Orchid Lekki Lagos,"₦ 420,000,000",5,6,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-4NUNB
Brand New 4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 135,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-0NVBB
5 Bedroom Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 450,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-0NVBS
4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 150,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-5NUWU
Newly Built 4 Bedroom Detached Duplex,Ajah Lagos,"₦ 120,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-2NVBE
5 Bedroom Detached Duplex,Royal Garden Lekki Lagos,"₦ 650,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-royal-garden-lekki-lagos-9NUMA
Brand New 4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 140,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-5NVAV
2 Bedroom Apartment,Victoria Island Lagos,"₦ 300,000,000",2,2,https://propertypro.ng/property/2-bedroom-house-for-sale-victoria-island-lagos-2NUWW
Brand New 4 Bedroom Semi Detached Duplex,Chevron Lekki Lagos,"₦ 250,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-chevron-lekki-lagos-2NUKQ
3 Bedroom Apartment,Oniru Victoria Island Lagos,"₦ 450,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-oniru-victoria-island-lagos-2NUWX
4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 140,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-1NVDW
2 Bedroom Apartments,Durosimi Etti Lekki Phase 1 Lekki Lagos,"₦ 250,000,000",2,3,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-durosimi-etti-lekki-phase-1-lekki-lagos-4NHFB
4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 140,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-5NUYB
Brand New 4 Bedroom Semi Detached Duplex,Ajah Lagos,"₦ 140,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-9NVAP
Brand New 4 Bedroom Terrace Duplex,Ikota Lekki Lagos,"₦ 130,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-5NVAR
5 Bedroom Detached Duplex,Ajah Lagos,"₦ 300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-8NVEB
3 Bedroom Apartment,Ajah Lagos,"₦ 110,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-ajah-lagos-8NUXF
Brand New 3 Bedroom Terrace Duplex,Ajah Lagos,"₦ 85,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-ajah-lagos-8NVBH
Stunning 5 Bedroom Detached Duplex,Ajah Lagos,"₦ 250,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-0NVBF
5 Bedroom Detached Duplex,2nd Toll Gate Lekki Lagos,"₦ 420,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-2nd-toll-gate-lekki-lagos-7NVBW
